Year,Qtr,Home Price Index,Data Source,Nominal Median,CPI,CPI %_,Inflation measure,Real HPI Growth,Real HPI,Real Home Price,Rent Index,Adjusted HPI,Adjusted Rent Index,,,,,,,,,,,
1987,Q2,64.09,S&P/Case-Shiller national HPI,"$87,913",173.667,1.047%,CPI-U Research Series,2.274%,124.69,"$171,036",124.100,69.603,64.872,,,,,,,,,,,
1987,Q3,65.32,S&P/Case-Shiller national HPI,"$89,600",175.300,0.940%,CPI-U Research Series,0.979%,125.91,"$172,710",125.400,70.938,65.551,,,,,,,,,,,
1987,Q4,66.18,S&P/Case-Shiller national HPI,"$90,780",176.767,0.837%,CPI-U Research Series,0.480%,126.51,"$173,539",127.500,71.872,66.649,,,,,,,,,,,
1988,Q1,66.67,S&P/Case-Shiller national HPI,"$91,452",178.000,0.698%,CPI-U Research Series,0.043%,126.57,"$173,613",129.000,72.404,67.433,,,,,,,,,,,
1988,Q2,69.27,S&P/Case-Shiller national HPI,"$95,018",179.900,1.067%,CPI-U Research Series,2.832%,130.15,"$178,531",130.000,75.228,67.956,,,,,,,,,,,
1988,Q3,70.50,S&P/Case-Shiller national HPI,"$96,706",181.833,1.075%,CPI-U Research Series,0.701%,131.06,"$179,782",131.900,76.564,68.949,Owner-equivalent rent index is available at http://data.bls.gov/cgi-bin/srgate by entering series id CUUR0000SEHC.,,,,,,,,,,
1988,Q4,71.22,S&P/Case-Shiller national HPI,"$97,693",183.533,0.935%,CPI-U Research Series,0.086%,131.18,"$179,937",133.900,77.346,69.995,,,,,,,,,,,
1989,Q1,72.43,S&P/Case-Shiller national HPI,"$99,353",185.333,0.981%,CPI-U Research Series,0.718%,132.12,"$181,230",134.800,78.660,70.465,,,,,,,,,,,
1989,Q2,74.40,S&P/Case-Shiller national HPI,"$102,055",188.167,1.529%,CPI-U Research Series,1.191%,133.69,"$183,388",136.300,80.799,71.249,,,,,,,,,,,
1989,Q3,75.22,S&P/Case-Shiller national HPI,"$103,180",189.567,0.744%,CPI-U Research Series,0.358%,134.17,"$184,045",138.200,81.690,72.243,,,,,,,,,,,
1989,Q4,75.37,S&P/Case-Shiller national HPI,"$103,386",191.200,0.862%,CPI-U Research Series,-0.662%,133.28,"$182,826",140.500,81.853,73.445,,,,,,,,,,,
1990,Q1,75.58,S&P/Case-Shiller national HPI,"$103,674",194.233,1.586%,CPI-U Research Series,-1.308%,131.54,"$180,435",141.100,82.081,73.758,,,,,,,,,,,
1990,Q2,76.42,S&P/Case-Shiller national HPI,"$104,826",196.000,0.910%,CPI-U Research Series,0.202%,131.81,"$180,799",143.200,82.993,74.856,,,,,,,,,,,
1990,Q3,75.84,S&P/Case-Shiller national HPI,"$104,031",199.233,1.650%,CPI-U Research Series,-2.409%,128.63,"$176,445",146.700,82.363,76.686,,,,,,,,,,,
1990,Q4,74.59,S&P/Case-Shiller national HPI,"$102,316",202.333,1.556%,CPI-U Research Series,-3.204%,124.51,"$170,791",147.500,81.006,77.104,,,,,,,,,,,
1991,Q1,73.43,S&P/Case-Shiller national HPI,"$100,725",203.433,0.544%,CPI-U Research Series,-2.099%,121.90,"$167,206",148.500,79.746,77.627,,,,,,,,,,,
1991,Q2,74.75,S&P/Case-Shiller national HPI,"$102,535",204.333,0.442%,CPI-U Research Series,1.355%,123.55,"$169,472",149.400,81.179,78.097,,,,,,,,,,,
1991,Q3,75.16,S&P/Case-Shiller national HPI,"$103,098",205.567,0.604%,CPI-U Research Series,-0.055%,123.48,"$169,379",150.900,81.625,78.881,,,,,,,,,,,
1991,Q4,74.65,S&P/Case-Shiller national HPI,"$102,398",207.033,0.713%,CPI-U Research Series,-1.392%,121.76,"$167,021",152.900,81.071,79.927,,,,,,,,,,,
1992,Q1,74.30,S&P/Case-Shiller national HPI,"$101,918",208.200,0.564%,CPI-U Research Series,-1.032%,120.50,"$165,297",153.700,80.691,80.345,,,,,,,,,,,
1992,Q2,75.48,S&P/Case-Shiller national HPI,"$103,537",209.567,0.656%,CPI-U Research Series,0.932%,121.63,"$166,837",154.600,81.972,80.815,,,,,,,,,,,
1992,Q3,75.40,S&P/Case-Shiller national HPI,"$103,427",210.867,0.620%,CPI-U Research Series,-0.726%,120.74,"$165,625",156.100,81.885,81.600,,,,,,,,,,,
1992,Q4,74.74,S&P/Case-Shiller national HPI,"$102,522",212.533,0.790%,CPI-U Research Series,-1.666%,118.73,"$162,867",157.500,81.169,82.331,,,,,,,,,,,
1993,Q1,74.46,S&P/Case-Shiller national HPI,"$102,138",213.600,0.502%,CPI-U Research Series,-0.877%,117.69,"$161,439",158.800,80.864,83.011,,,,,,,,,,,
1993,Q2,75.48,S&P/Case-Shiller national HPI,"$103,537",215.100,0.702%,CPI-U Research Series,0.668%,118.48,"$162,517",159.700,81.972,83.481,,,,,,,,,,,
1993,Q3,76.06,S&P/Case-Shiller national HPI,"$104,332",216.033,0.434%,CPI-U Research Series,0.335%,118.87,"$163,060",161.100,82.602,84.213,,,,,,,,,,,
1993,Q4,75.91,S&P/Case-Shiller national HPI,"$104,127",217.467,0.663%,CPI-U Research Series,-0.861%,117.85,"$161,657",162.300,82.439,84.841,,,,,,,,,,,
1994,Q1,76.46,S&P/Case-Shiller national HPI,"$104,881",218.067,0.276%,CPI-U Research Series,0.449%,118.38,"$162,382",164.000,83.036,85.729,,,,,,,,,,,
1994,Q2,78.06,S&P/Case-Shiller national HPI,"$107,076",219.233,0.535%,CPI-U Research Series,1.558%,120.22,"$164,911",164.800,84.774,86.147,,,,,,,,,,,
1994,Q3,78.23,S&P/Case-Shiller national HPI,"$107,309",220.967,0.791%,CPI-U Research Series,-0.573%,119.53,"$163,967",166.400,84.959,86.984,,,,,,,,,,,
1994,Q4,77.89,S&P/Case-Shiller national HPI,"$106,843",221.967,0.453%,CPI-U Research Series,-0.887%,118.47,"$162,512",168.200,84.589,87.925,,,,,,,,,,,
1995,Q1,77.74,S&P/Case-Shiller national HPI,"$106,637",223.300,0.601%,CPI-U Research Series,-0.793%,117.53,"$161,223",169.100,84.427,88.395,,,,,,,,,,,
1995,Q2,79.28,S&P/Case-Shiller national HPI,"$108,749",225.033,0.776%,CPI-U Research Series,1.205%,118.95,"$163,165",170.300,86.099,89.022,,,,,,,,,,,
1995,Q3,79.87,S&P/Case-Shiller national HPI,"$109,559",226.100,0.474%,CPI-U Research Series,0.270%,119.27,"$163,606",171.900,86.740,89.859,,,,,,,,,,,
1995,Q4,79.51,S&P/Case-Shiller national HPI,"$109,065",227.067,0.428%,CPI-U Research Series,-0.878%,118.22,"$162,169",173.900,86.349,90.904,,,,,,,,,,,
1996,Q1,79.61,S&P/Case-Shiller national HPI,"$109,202",228.867,0.793%,CPI-U Research Series,-0.667%,117.44,"$161,088",175.000,86.457,91.479,,,,,,,,,,,
1996,Q2,81.11,S&P/Case-Shiller national HPI,"$111,259",230.833,0.859%,CPI-U Research Series,1.025%,118.64,"$162,739",175.900,88.086,91.950,,,,,,,,,,,
1996,Q3,81.72,S&P/Case-Shiller national HPI,"$112,096",232.067,0.534%,CPI-U Research Series,0.218%,118.90,"$163,093",177.300,88.749,92.682,,,,,,,,,,,
1996,Q4,81.18,S&P/Case-Shiller national HPI,"$111,355",233.900,0.790%,CPI-U Research Series,-1.451%,117.17,"$160,727",178.900,88.162,93.518,,,,,,,,,,,
1997,Q1,81.82,S&P/Case-Shiller national HPI,"$112,233",235.167,0.542%,CPI-U Research Series,0.247%,117.46,"$161,124",179.900,88.858,94.041,,,,,,,,,,,
1997,Q2,83.55,S&P/Case-Shiller national HPI,"$114,606",235.700,0.227%,CPI-U Research Series,1.888%,119.68,"$164,165",180.900,90.736,94.564,,,,,,,,,,,
1997,Q3,84.37,S&P/Case-Shiller national HPI,"$115,731",236.800,0.467%,CPI-U Research Series,0.515%,120.29,"$165,010",182.600,91.627,95.452,,,,,,,,,,,
1997,Q4,84.80,S&P/Case-Shiller national HPI,"$116,321",238.000,0.507%,CPI-U Research Series,0.003%,120.30,"$165,015",184.200,92.094,96.289,,,,,,,,,,,
1998,Q1,85.71,S&P/Case-Shiller national HPI,"$117,569",238.333,0.140%,CPI-U Research Series,0.933%,121.42,"$166,554",185.500,93.082,96.968,,,,,,,,,,,
1998,Q2,88.30,S&P/Case-Shiller national HPI,"$121,122",239.033,0.294%,CPI-U Research Series,2.728%,124.73,"$171,098",186.800,95.895,97.648,,,,,,,,,,,
1998,Q3,90.10,S&P/Case-Shiller national HPI,"$123,591",240.133,0.460%,CPI-U Research Series,1.578%,126.70,"$173,799",188.500,97.850,98.536,,,,,,,,,,,
1998,Q4,90.81,S&P/Case-Shiller national HPI,"$124,565",241.133,0.416%,CPI-U Research Series,0.372%,127.17,"$174,444",190.300,98.621,99.477,,,,,,,,,,,
1999,Q1,92.08,S&P/Case-Shiller national HPI,"$126,307",242.033,0.373%,CPI-U Research Series,1.025%,128.48,"$176,233",191.300,100.000,100.000,,,,,,,,,,,
1999,Q2,94.75,S&P/Case-Shiller national HPI,"$129,970",243.800,0.730%,CPI-U Research Series,2.170%,131.26,"$180,057",192.200,102.900,100.470,,,,,,,,,,,
1999,Q3,97.03,S&P/Case-Shiller national HPI,"$133,097",245.700,0.779%,CPI-U Research Series,1.627%,133.40,"$182,986",193.400,105.376,101.098,,,,,,,,,,,
1999,Q4,98.29,S&P/Case-Shiller national HPI,"$134,825",247.500,0.733%,CPI-U Research Series,0.566%,134.16,"$184,022",194.900,106.744,101.882,,,,,,,,,,,
2000,Q1,100.00,S&P/Case-Shiller national HPI,"$137,171",249.833,0.943%,CPI-U Research Series,0.797%,135.22,"$185,489",196.600,108.601,102.771,,,,,,,,,,,
2000,Q2,103.77,S&P/Case-Shiller national HPI,"$142,342",251.767,0.774%,CPI-U Research Series,2.996%,139.28,"$191,046",197.600,112.695,103.293,,,,,,,,,,,
2000,Q3,106.33,S&P/Case-Shiller national HPI,"$145,854",254.100,0.927%,CPI-U Research Series,1.540%,141.42,"$193,989",199.200,115.476,104.130,,,,,,,,,,,
2000,Q4,107.90,S&P/Case-Shiller national HPI,"$148,008",255.867,0.695%,CPI-U Research Series,0.781%,142.53,"$195,504",201.200,117.181,105.175,,,,,,,,,,,
2001,Q1,109.27,S&P/Case-Shiller national HPI,"$149,887",258.333,0.964%,CPI-U Research Series,0.306%,142.96,"$196,102",202.900,118.669,106.064,,,,,,,,,,,
2001,Q2,112.69,S&P/Case-Shiller national HPI,"$154,578",260.133,0.697%,CPI-U Research Series,2.433%,146.44,"$200,873",204.900,122.383,107.109,,,,,,,,,,,
2001,Q3,115.50,S&P/Case-Shiller national HPI,"$158,433",260.867,0.282%,CPI-U Research Series,2.212%,149.68,"$205,316",207.300,125.434,108.364,,,,,,,,,,,
2001,Q4,116.23,S&P/Case-Shiller national HPI,"$159,434",260.567,-0.115%,CPI-U Research Series,0.747%,150.80,"$206,850",210.100,126.227,109.827,,,,,,,,,,,
2002,Q1,118.00,S&P/Case-Shiller national HPI,"$161,862",261.500,0.358%,CPI-U Research Series,1.165%,152.55,"$209,259",212.200,128.149,110.925,,,,,,,,,,,
2002,Q2,122.24,S&P/Case-Shiller national HPI,"$167,678",263.567,0.790%,CPI-U Research Series,2.803%,156.83,"$215,124",213.700,132.754,111.709,,,,,,,,,,,
2002,Q3,126.13,S&P/Case-Shiller national HPI,"$173,014",264.967,0.531%,CPI-U Research Series,2.651%,160.99,"$220,827",215.400,136.979,112.598,,,,,,,,,,,
2002,Q4,128.58,S&P/Case-Shiller national HPI,"$176,375",266.600,0.616%,CPI-U Research Series,1.326%,163.12,"$223,755",217.300,139.639,113.591,,,,,,,,,,,
2003,Q1,130.48,S&P/Case-Shiller national HPI,"$178,981",269.267,1.000%,CPI-U Research Series,0.477%,163.90,"$224,823",218.700,141.703,114.323,,,,,,,,,,,
2003,Q2,134.20,S&P/Case-Shiller national HPI,"$184,084",268.833,-0.161%,CPI-U Research Series,3.012%,168.84,"$231,595",219.100,145.743,114.532,,,,,,,,,,,
2003,Q3,138.41,S&P/Case-Shiller national HPI,"$189,858",270.867,0.756%,CPI-U Research Series,2.381%,172.86,"$237,109",220.100,150.315,115.055,,,,,,,,,,,
2003,Q4,142.29,S&P/Case-Shiller national HPI,"$195,181",271.867,0.369%,CPI-U Research Series,2.434%,177.06,"$242,880",221.900,154.529,115.996,,,,,,,,,,,
2004,Q1,146.26,S&P/Case-Shiller national HPI,"$200,626",274.200,0.858%,CPI-U Research Series,1.932%,180.48,"$247,572",222.900,158.840,116.519,,,,,,,,,,,
2004,Q2,152.92,S&P/Case-Shiller national HPI,"$209,762",276.267,0.754%,CPI-U Research Series,3.800%,187.34,"$256,979",224.300,166.073,117.250,,,,,,,,,,,
2004,Q3,158.53,S&P/Case-Shiller national HPI,"$217,457",278.133,0.676%,CPI-U Research Series,2.993%,192.95,"$264,671",225.700,172.166,117.982,,,,,,,,,,,
2004,Q4,163.06,S&P/Case-Shiller national HPI,"$223,671",281.133,1.079%,CPI-U Research Series,1.779%,196.38,"$269,379",226.800,177.085,118.557,,,,,,,,,,,
2005,Q1,169.19,S&P/Case-Shiller national HPI,"$232,080",282.433,0.462%,CPI-U Research Series,3.297%,202.86,"$278,260",228.400,183.742,119.394,,,,,,,,,,,
2005,Q2,176.70,S&P/Case-Shiller national HPI,"$242,381",284.367,0.685%,CPI-U Research Series,3.754%,210.47,"$288,707",229.400,191.898,119.916,,,,,,,,,,,
2005,Q3,183.08,S&P/Case-Shiller national HPI,"$251,133",288.667,1.512%,CPI-U Research Series,2.099%,214.89,"$294,765",230.700,198.827,120.596,,,,,,,,,,,
2005,Q4,186.97,S&P/Case-Shiller national HPI,"$256,469",291.367,0.935%,CPI-U Research Series,1.189%,217.44,"$298,271",232.200,203.052,121.380,,,,,,,,,,,
2006,Q1,188.66,S&P/Case-Shiller national HPI,"$258,787",292.967,0.549%,CPI-U Research Series,0.355%,218.22,"$299,329",234.100,204.887,122.373,,,,,,,,,,,
2006,Q2,189.93,S&P/Case-Shiller national HPI,"$260,529",295.500,0.865%,CPI-U Research Series,-0.192%,217.80,"$298,756",236.900,206.266,123.837,,,,,,,,,,,
2006,Q3,188.11,S&P/Case-Shiller national HPI,"$258,033",298.400,0.981%,CPI-U Research Series,-1.940%,213.57,"$292,961",239.700,204.290,125.301,,,,,,,,,,,
2006,Q4,186.44,S&P/Case-Shiller national HPI,"$255,742",297.133,-0.424%,CPI-U Research Series,-0.463%,212.58,"$291,604",242.100,202.476,126.555,,,,,,,,,,,
2007,Q1,184.83,S&P/Case-Shiller national HPI,"$253,533",299.967,0.954%,CPI-U Research Series,-1.817%,208.72,"$286,305",244.020,200.728,127.559,,,,,,,,,,,
2007,Q2,183.17,S&P/Case-Shiller national HPI,"$251,256",303.500,1.178%,CPI-U Research Series,-2.076%,204.39,"$280,361",245.236,198.925,128.194,,,,,,,,,,,
2007,Q3,180.01,S&P/Case-Shiller national HPI,"$246,922",305.400,0.626%,CPI-U Research Series,-2.351%,199.58,"$273,770",246.815,195.493,129.020,,,,,,,,,,,
2007,Q4,170.75,S&P/Case-Shiller national HPI,"$234,220",309.000,1.179%,CPI-U Research Series,-6.323%,186.96,"$256,459",248.876,185.437,130.097,,,,,,,,,,,
2008,Q1,159.36,S&P/Case-Shiller national HPI,"$218,596",312.500,1.133%,CPI-U Research Series,-7.803%,172.37,"$236,447",250.481,173.067,130.936,,,,,,,,,,,
2008,Q2,155.93,S&P/Case-Shiller national HPI,"$213,891",316.533,1.291%,CPI-U Research Series,-3.443%,166.44,"$228,306",251.576,169.342,131.509,,,,,,,,,,,
2008,Q3,150.48,S&P/Case-Shiller national HPI,"$206,415",321.500,1.569%,CPI-U Research Series,-5.064%,158.01,"$216,744",252.957,163.423,132.231,,,,,,,,,,,
2008,Q4,139.41,S&P/Case-Shiller national HPI,"$191,230",313.833,-2.385%,CPI-U Research Series,-4.972%,150.15,"$205,968",254.669,151.401,133.125,,,,,,,,,,,
2009,Q1,129.17,S&P/Case-Shiller national HPI,"$177,184",312.000,-0.584%,CPI-U Research Series,-6.761%,140.00,"$192,042",255.779,140.280,133.706,,,,,,,,,,,
2009,Q2,133.19,S&P/Case-Shiller national HPI,"$182,698",313.467,0.470%,CPI-U Research Series,2.642%,143.70,"$197,116",256.875,144.646,134.279,,,,,,,,,,,
2009,Q3,137.51,S&P/Case-Shiller national HPI,"$188,624",316.300,0.904%,CPI-U Research Series,2.340%,147.06,"$201,728",257.155,149.338,134.425,,,,,,,,,,,
2009,Q4,135.99,S&P/Case-Shiller national HPI,"$186,539",318.467,0.685%,CPI-U Research Series,-1.790%,144.43,"$198,116",256.731,147.687,134.203,,,,,,,,,,,
